campaign_id,campaign_name,platform,content_type,post_date,post_hour,reach,impressions,clicks,likes,comments,shares,spend_usd
C002,Product Launch,Twitter,Carousel,04-14-2025,15,4412,5061,116.0,103,23.0,10,374.18
C005,Customer Spotlight,LinkedIn,Image,07-03-2025,22,3290,5337,188.0,86,,10,127.33
C001,Summer Sale,LinkedIn,Image,04-28-2025,16,3628,4446,156.0,108,13.0,10,95.49
C007,Influencer Collab,Facebook,Carousel,06-26-2025,17,5523,6830,91.0,219,17.0,49,471.42
C001,Summer Sale,Facebook,Story,05-04-2025,11,4726,5522,94.0,87,8.0,14,315.61
C004,Holiday Promo,Twitter,Story,06-16-2025,20,1704,2810,66.0,19,3.0,1,101.85
C004,Holiday Promo,LinkedIn,Text Post,06-10-2025,10,3732,6240,136.0,50,5.0,4,452.2
C007,Influencer Collab,Twitter,Video,06-21-2025,22,4029,7159,108.0,120,17.0,21,443.33
C001,Summer Sale,Twitter,Text Post,05-08-2025,22,2312,3531,11.0,18,2.0,1,125.15
C008,New Year Promo,Twitter,Text Post,03-18-2025,10,4762,7383,60.0,66,5.0,5,96.58
C006,Flash Sale,LinkedIn,Carousel,2025-03-11,6,4195,6505,119.0,95,23.0,26,490.39
C004,Holiday Promo,instagram,Video,06-03-2025,15,5958,9822,427.0,161,33.0,14,117.19
C005,Customer Spotlight,Instagram,Story,14/01/2025,7,6014,10670,225.0,45,3.0,10,496.62
C005,Customer Spotlight,Facebook,Video,06-26-2025,9,8086,9044,425.0,139,18.0,35,184.07
C001,Summer Sale,LinkedIn,Text Post,06-02-2025,22,2227,2498,38.0,19,1.0,3,180.44
C003,Brand Awareness,Twitter,Carousel,02-18-2025,9,2271,2614,57.0,68,10.0,11,434.4
C002,Product Launch,Facebook,Text Post,02-25-2025,22,4192,4881,16.0,61,9.0,7,483.21
C003,Brand Awareness,Instagram,Carousel,04-14-2025,20,7991,9614,299.0,152,13.0,18,373.12
C001,Summer Sale,Facebook,Story,06-19-2025,10,2996,3379,67.0,86,11.0,19,439.24
C007,Influencer Collab,Instagram,Text Post,03-05-2025,13,8399,12811,88.0,99,10.0,12,394.2
C007,Influencer Collab,Instagram,Carousel,05-01-2025,11,6342,7336,331.0,280,47.0,63,281.24
C006,Flash Sale,TikTok,Story,03-14-2025,7,17848,29278,628.0,109,17.0,33,258.95
C001,Summer Sale,Instagram,Story,07-09-2025,20,11030,16468,214.0,231,37.0,54,416.02
C001,Summer Sale,LinkedIn,Image,01-25-2025,23,2397,3791,138.0,42,8.0,3,241.51
C001,Summer Sale,LinkedIn,Video,06-27-2025,16,2710,4582,57.0,114,21.0,12,149.48
C003,Brand Awareness,LinkedIn,Video,03-27-2025,16,2940,4869,190.0,100,9.0,23,151.16
C008,New Year Promo,Twitter,Image,2025-04-08,10,1602,2735,27.0,31,4.0,6,34.39
C002,Product Launch,Instagram,Story,04-03-2025,13,5541,8562,142.0,128,18.0,36,294.5
C007,Influencer Collab,Twitter,Story,2025-01-01,7,4411,7232,39.0,130,19.0,12,462.01
C007,Influencer Collab,Twitter,Image,03-09-2025,9,7032,11794,421.0,123,17.0,15,402.76
C002,Product Launch,Twitter,Video,04-20-2025,8,3072,5317,155.0,33,7.0,9,317.66
C003,Brand Awareness,Facebook,Carousel,15/06/2025,8,5044,7873,277.0,206,32.0,46,346.47
C006,Flash Sale,LinkedIn,Text Post,06-20-2025,9,2370,4056,75.0,40,5.0,11,108.57
C008,New Year Promo,LinkedIn,Story,06-05-2025,20,3793,4511,70.0,63,10.0,12,493.53
C008,New Year Promo,Instagram,Carousel,07-02-2025,14,9632,11617,88.0,368,40.0,59,81.38
C007,Influencer Collab,Instagram,Carousel,2025-02-16,16,8175,10001,303.0,200,41.0,30,323.49
C002,Product Launch,Twitter,Carousel,06-12-2025,13,4675,8077,86.0,52,6.0,14,210.97
C006,Flash Sale,LinkedIn,Story,15/06/2025,8,3291,5810,86.0,70,9.0,9,342.81
C003,Brand Awareness,Twitter,Carousel,06-12-2025,15,376,567,20.0,9,1.0,1,414.82
C004,Holiday Promo,LinkedIn,Story,01-23-2025,20,1467,2227,39.0,42,3.0,10,203.91
C001,Summer Sale,Facebook,Story,03-18-2025,23,4174,6360,69.0,36,3.0,8,208.09
C006,Flash Sale,Instagram,Story,06-21-2025,19,10495,16225,107.0,267,39.0,48,268.84
C005,Customer Spotlight,Instagram,Video,06-08-2025,20,11857,20822,980.0,123,12.0,30,122.49
C005,Customer Spotlight,TikTok,Text Post,10/02/2025,22,11470,18245,87.0,67,10.0,5,493.59
C001,Summer Sale,LinkedIn,Carousel,03-15-2025,8,3585,4687,128.0,124,9.0,21,197.25
C008,New Year Promo,Facebook,Story,05-01-2025,6,6341,9271,,103,14.0,25,448.41
C007,Influencer Collab,Facebook,Image,05-26-2025,19,6757,8897,122.0,113,17.0,24,319.94
C005,Customer Spotlight,Instagram,Text Post,06-07-2025,20,7267,10193,167.0,68,9.0,6,123.7
C006,Flash Sale,Instagram,Story,05-05-2025,18,5624,10063,209.0,137,31.0,39,303.81
C008,New Year Promo,Facebook,Story,2025-03-19,9,7891,12277,433.0,74,15.0,5,215.32
C006,Flash Sale,LinkedIn,Text Post,06-25-2025,7,3336,3810,27.0,51,4.0,9,277.2
C008,New Year Promo,TikTok,Video,2025-01-28,13,14561,22317,1000.0,308,58.0,63,269.68
C008,New Year Promo,TikTok,Image,03-18-2025,13,9966,15821,561.0,240,37.0,42,323.08
C006,Flash Sale,LinkedIn,Video,06-15-2025,9,3268,5475,178.0,87,16.0,9,157.83
C002,Product Launch,LinkedIn,Image,2025-04-30,16,3764,4759,32.0,109,15.0,28,262.3
C001,Summer Sale,Instagram,Text Post,01-18-2025,20,15077,20351,451.0,167,28.0,21,477.35
C008,New Year Promo,Facebook,Story,2025-05-28,18,7149,8636,75.0,132,10.0,18,50.42
C006,Flash Sale,TikTok,Carousel,01-25-2025,23,6084,9011,128.0,217,30.0,29,87.59
C007,Influencer Collab,Facebook,Image,13/07/2025,22,8306,12498,357.0,100,14.0,14,144.75
C001,Summer Sale,Facebook,Text Post,04-30-2025,18,5773,7962,79.0,28,5.0,2,211.12
C005,Customer Spotlight,Twitter,Image,2025-01-19,21,5299,7162,264.0,87,15.0,20,265.44
C006,Flash Sale,Facebook,Carousel,01-17-2025,18,5301,7721,248.0,241,35.0,30,272.98
C005,Customer Spotlight,TikTok,Image,2025-04-12,10,15487,26366,242.0,111,14.0,13,182.06
C006,Flash Sale,Facebook,Carousel,06-05-2025,17,7667,12204,97.0,162,33.0,38,192.82
C005,Customer Spotlight,Instagram,Video,03-16-2025,9,9011,14334,367.0,351,71.0,61,98.26
C001,Summer Sale,Facebook,Carousel,01-05-2025,10,5685,6944,281.0,172,38.0,37,83.61
C003,Brand Awareness,TikTok,Text Post,2025-01-21,23,9976,13834,104.0,98,14.0,14,494.26
C001,Summer Sale,Twitter,Story,2025-06-28,23,1034,1389,38.0,33,6.0,3,470.4
C004,Holiday Promo,Facebook,Image,01-28-2025,23,6389,8472,49.0,174,25.0,16,482.07
C001,Summer Sale,Facebook,Image,2025-01-24,23,6435,9024,160.0,100,8.0,13,238.91
C004,Holiday Promo,Instagram,Carousel,07-23-2025,13,4831,8468,339.0,157,13.0,27,493.89
C002,Product Launch,Twitter,Image,2025-07-21,23,4230,5031,78.0,137,22.0,10,146.29
C007,Influencer Collab,Instagram,Video,07-22-2025,17,7742,10605,355.0,235,21.0,44,385.71
C002,Product Launch,Facebook,Carousel,01-19-2025,20,4573,7617,141.0,161,38.0,33,56.89
C003,Brand Awareness,Facebook,Text Post,2025-04-09,8,5494,8760,156.0,29,2.0,4,438.07
C008,New Year Promo,TikTok,Text Post,2025-02-14,14,12698,21714,410.0,295,46.0,25,31.8
C004,Holiday Promo,Instagram,Text Post,04-22-2025,17,10292,11960,162.0,82,8.0,12,351.39
C002,Product Launch,LinkedIn,Text Post,01-04-2025,20,3112,5495,40.0,48,8.0,5,313.27
C004,Holiday Promo,Instagram,Video,01-18-2025,12,7388,10838,,194,30.0,20,433.66
C001,Summer Sale,LinkedIn,Carousel,03-10-2025,14,2517,3976,131.0,43,6.0,13,342.31
C002,Product Launch,Facebook,Image,2025-07-29,10,8990,14706,411.0,106,9.0,23,479.18
C007,Influencer Collab,Twitter,Carousel,05-24-2025,18,3806,5568,92.0,117,25.0,33,258.68
C002,Product Launch,LinkedIn,Carousel,07-27-2025,23,3580,6176,199.0,41,5.0,6,464.66
C007,Influencer Collab,LinkedIn,Story,06-02-2025,23,2561,3111,99.0,71,10.0,10,208.37
C004,Holiday Promo,Instagram,Text Post,05/02/2025,13,5390,6798,115.0,24,4.0,2,376.11
C005,Customer Spotlight,LinkedIn,Story,2025-03-25,19,2758,3198,89.0,112,17.0,9,120.75
C007,Influencer Collab,Instagram,Image,27/04/2025,10,10120,12064,470.0,305,26.0,33,106.87
C003,Brand Awareness,Instagram,Carousel,08/01/2025,14,3911,5559,89.0,161,,33,56.41
C005,Customer Spotlight,TikTok,Story,04-08-2025,19,13772,18524,663.0,157,27.0,37,103.47
C004,Holiday Promo,LinkedIn,Story,03-03-2025,17,4068,6305,34.0,97,11.0,11,165.89
C005,Customer Spotlight,Instagram,Video,04-01-2025,21,8053,12677,695.0,191,32.0,32,80.26
C005,Customer Spotlight,LinkedIn,Story,06-26-2025,22,3583,5806,27.0,40,7.0,6,157.78
C003,Brand Awareness,Facebook,Image,18/04/2025,14,6323,9435,227.0,62,8.0,16,202.59
C002,Product Launch,Facebook,Story,02-09-2025,18,5653,6791,193.0,119,11.0,22,134.07
C008,New Year Promo,LinkedIn,Story,06-05-2025,23,2170,3384,,68,5.0,5,162.7
C002,Product Launch,LinkedIn,Carousel,05-18-2025,15,2108,2378,36.0,62,4.0,10,329.68
C005,Customer Spotlight,Twitter,Image,01-28-2025,15,2311,3445,18.0,48,3.0,7,244.96
C008,New Year Promo,Twitter,Video,2025-05-12,22,2721,3693,125.0,29,3.0,9,483.59
C007,Influencer Collab,TikTok,Image,03-22-2025,12,10307,14430,218.0,80,13.0,7,210.96
C006,Flash Sale,LinkedIn,Video,03-26-2025,19,2220,3668,190.0,65,11.0,15,226.87
C001,Summer Sale,LinkedIn,Carousel,06-11-2025,17,3060,5372,253.0,30,3.0,7,143.13
C008,New Year Promo,Twitter,Video,04-27-2025,15,4270,7430,55.0,106,15.0,25,302.94
C005,Customer Spotlight,TikTok,Text Post,05-17-2025,21,6873,7800,63.0,143,23.0,32,481.1
C007,Influencer Collab,Twitter,Image,05-23-2025,23,5102,6877,93.0,46,7.0,10,47.71
C008,New Year Promo,Twitter,Image,2025-05-20,13,4155,5014,189.0,99,12.0,22,464.27
C002,Product Launch,LinkedIn,Text Post,2025-02-03,16,3000,4208,17.0,32,4.0,5,388.43
C004,Holiday Promo,TikTok,Video,05-22-2025,9,8518,10813,447.0,370,58.0,84,288.63
C006,Flash Sale,LinkedIn,Story,05-16-2025,17,3503,5550,197.0,90,13.0,11,473.15
C008,New Year Promo,linkedin,Text Post,06-16-2025,20,2948,4327,23.0,19,1.0,5,296.73
C008,New Year Promo,TikTok,Carousel,07-26-2025,8,10906,18943,506.0,260,19.0,50,206.07
C005,Customer Spotlight,TikTok,Story,05-27-2025,18,13850,23681,783.0,499,76.0,58,341.95
C007,Influencer Collab,Twitter,Story,21/03/2025,12,3566,5590,40.0,38,8.0,3,119.79
C006,Flash Sale,Twitter,Image,2025-05-26,23,5858,6540,,203,34.0,31,165.4
C004,Holiday Promo,TikTok,Video,04-30-2025,19,14725,23619,565.0,542,76.0,64,107.17
C008,New Year Promo,Twitter,Image,06-27-2025,7,4656,7145,194.0,86,10.0,22,80.61
C005,Customer Spotlight,LinkedIn,Text Post,05-04-2025,9,3947,6631,30.0,19,1.0,1,354.22
C008,New Year Promo,LinkedIn,Image,06-10-2025,8,2277,2726,15.0,48,6.0,13,338.62
C003,Brand Awareness,Facebook,Video,05-19-2025,22,6315,7803,340.0,288,52.0,70,230.82
C005,Customer Spotlight,LinkedIn,Image,07-02-2025,16,2802,3739,135.0,33,4.0,5,398.53
C007,Influencer Collab,Instagram,Video,2025-02-18,6,11464,19685,436.0,503,41.0,63,139.98
C007,Influencer Collab,Twitter,Text Post,02-13-2025,10,4863,7618,24.0,34,6.0,6,24.34
C003,Brand Awareness,Twitter,Story,07-10-2025,19,3545,4112,64.0,121,15.0,15,53.32
C006,Flash Sale,TikTok,Text Post,02-27-2025,8,15386,18075,360.0,196,44.0,36,284.11
C002,Product Launch,Twitter,Image,02-14-2025,11,3451,3962,145.0,27,3.0,3,139.78
C005,Customer Spotlight,Twitter,Story,09/04/2025,9,3876,6291,183.0,61,14.0,19,495.84
C004,Holiday Promo,LinkedIn,Carousel,2025-01-29,7,2387,2895,98.0,94,6.0,8,22.43
C004,Holiday Promo,LinkedIn,Image,04-03-2025,16,4270,5974,180.0,42,7.0,9,447.32
C004,Holiday Promo,Instagram,Story,07-22-2025,16,6055,9660,93.0,106,16.0,21,473.94
C003,Brand Awareness,Facebook,Carousel,17/03/2025,15,8260,9463,305.0,158,28.0,21,445.27
C006,Flash Sale,LinkedIn,Story,03-09-2025,7,3091,4153,146.0,41,5.0,10,426.59
C004,Holiday Promo,LinkedIn,Carousel,01-01-2025,19,4518,7465,278.0,100,16.0,22,227.2
C005,Customer Spotlight,Facebook,Text Post,07/02/2025,11,6699,11680,263.0,95,16.0,9,75.86
C005,Customer Spotlight,LinkedIn,Text Post,27/05/2025,15,3289,4923,83.0,60,7.0,7,407.77
C002,Product Launch,Twitter,Story,02-06-2025,10,4667,7099,60.0,104,18.0,20,182.37
C007,Influencer Collab,Twitter,Image,01-30-2025,20,4649,7617,107.0,43,6.0,3,384.94
C002,Product Launch,LinkedIn,Image,03-22-2025,6,1647,2723,103.0,18,1.0,4,91.42
C001,Summer Sale,TikTok,Text Post,26/07/2025,14,13931,24762,181.0,137,20.0,19,78.27
C008,New Year Promo,Instagram,Text Post,07-05-2025,14,12858,14801,326.0,214,18.0,45,472.98
C001,Summer Sale,TikTok,Image,02-07-2025,15,9842,14519,535.0,168,26.0,16,414.82
C008,New Year Promo,tiktok,Image,07-03-2025,17,10429,11697,246.0,218,18.0,56,158.84
C007,Influencer Collab,Facebook,Video,02-09-2025,19,4470,7486,344.0,69,5.0,9,91.96
C008,New Year Promo,TikTok,Text Post,2025-01-24,13,8392,11661,37.0,101,15.0,20,242.77
C005,Customer Spotlight,Instagram,Carousel,01-27-2025,15,7497,10629,289.0,212,33.0,18,482.73
C007,Influencer Collab,LinkedIn,Text Post,03-13-2025,23,4231,5949,67.0,78,11.0,19,318.6
C007,Influencer Collab,instagram,Video,06-15-2025,16,6247,7097,389.0,193,31.0,43,267.82
C004,Holiday Promo,Instagram,Video,05-19-2025,11,11040,12255,508.0,137,12.0,40,247.6
C007,Influencer Collab,LinkedIn,Carousel,05-04-2025,20,2711,4833,130.0,48,9.0,11,286.57
C008,New Year Promo,TikTok,Text Post,12/05/2025,14,13033,18186,101.0,118,18.0,9,288.15
C003,Brand Awareness,Instagram,Text Post,06-29-2025,23,11254,16269,59.0,143,10.0,13,325.48
C005,Customer Spotlight,Twitter,Video,05-28-2025,7,3464,4540,169.0,114,20.0,18,41.96
C007,Influencer Collab,Instagram,Image,01/02/2025,20,5976,6870,68.0,81,11.0,6,152.87
C002,Product Launch,LinkedIn,Image,18/01/2025,16,3457,3926,35.0,42,7.0,10,204.24
C007,Influencer Collab,Twitter,Story,2025-03-22,19,3018,3443,71.0,48,7.0,10,231.3
C001,Summer Sale,Facebook,Carousel,05-17-2025,7,4389,6720,287.0,61,13.0,5,273.89
C005,Customer Spotlight,Facebook,Carousel,16/07/2025,16,5782,7683,164.0,73,15.0,22,235.33
C006,Flash Sale,Facebook,Image,02-14-2025,22,7366,9358,80.0,212,49.0,35,253.22
C002,Product Launch,Facebook,Video,01-21-2025,13,4939,5841,270.0,190,36.0,41,155.38
C002,Product Launch,LinkedIn,Image,02-26-2025,22,3126,4092,141.0,97,13.0,26,109.33
C002,Product Launch,Twitter,Story,05-08-2025,14,4452,6403,69.0,128,15.0,16,385.66
C008,New Year Promo,LinkedIn,Story,03-27-2025,10,3625,4962,173.0,27,1.0,5,230.08
C007,Influencer Collab,Twitter,Carousel,03-30-2025,14,4241,4755,160.0,177,28.0,19,209.05
C002,Product Launch,Facebook,Story,06-28-2025,6,5068,7277,128.0,124,23.0,26,222.25
C002,Product Launch,LinkedIn,Video,06-04-2025,13,3041,4497,54.0,138,23.0,39,469.87
C005,Customer Spotlight,Instagram,Text Post,04-07-2025,17,8411,11352,51.0,75,6.0,18,493.71
C005,Customer Spotlight,LinkedIn,Image,2025-04-12,7,2989,5256,87.0,61,11.0,15,352.94
C007,Influencer Collab,Instagram,Video,03-15-2025,20,6236,10572,448.0,199,17.0,50,52.48
C006,Flash Sale,Facebook,Image,2025-03-18,22,5966,9434,165.0,171,14.0,22,406.13
C001,Summer Sale,TikTok,Carousel,06-18-2025,7,13518,22082,637.0,467,89.0,46,22.76
C003,Brand Awareness,Twitter,Image,16/04/2025,11,4094,4622,177.0,52,9.0,3,326.78
C006,Flash Sale,Facebook,Carousel,01-18-2025,18,2437,3670,83.0,31,5.0,5,497.05
C004,Holiday Promo,Instagram,Video,06-30-2025,15,6375,7037,74.0,281,,63,192.06
C004,Holiday Promo,TikTok,Story,04-17-2025,20,8394,12568,97.0,280,25.0,27,325.49
C004,Holiday Promo,Twitter,Story,05-16-2025,23,3015,3831,113.0,90,18.0,19,261.27
C003,Brand Awareness,Facebook,Video,11/07/2025,20,6805,11456,112.0,173,19.0,20,184.38
C003,Brand Awareness,TikTok,Video,07-03-2025,6,14820,24670,971.0,769,91.0,142,57.66
C003,Brand Awareness,Facebook,Carousel,07-17-2025,20,6175,10982,355.0,216,35.0,35,300.47
C008,New Year Promo,Instagram,Video,05-15-2025,20,6186,10537,164.0,368,58.0,86,261.23
C001,Summer Sale,Facebook,Story,07-24-2025,11,3130,3566,78.0,95,18.0,25,389.11
C001,Summer Sale,Facebook,Image,2025-02-27,7,4961,6050,89.0,143,19.0,24,389.36
C007,Influencer Collab,LinkedIn,Video,04-05-2025,15,2760,3416,119.0,148,22.0,36,144.58
C007,Influencer Collab,LinkedIn,Story,04-16-2025,19,3683,4404,155.0,66,5.0,8,404.74
C005,Customer Spotlight,Facebook,Carousel,19/06/2025,18,6872,11375,538.0,187,34.0,22,87.54
C003,Brand Awareness,Twitter,Image,06-11-2025,15,2283,2627,77.0,40,6.0,5,432.86
C006,Flash Sale,Twitter,Text Post,2025-05-30,14,4656,7919,173.0,56,9.0,4,262.52
C007,Influencer Collab,Instagram,Story,01-08-2025,19,11673,14082,504.0,98,12.0,7,47.73
C003,Brand Awareness,Facebook,Text Post,05-10-2025,11,3933,4617,33.0,30,4.0,6,302.04
C002,Product Launch,Instagram,Image,07-01-2025,7,4364,5097,182.0,120,9.0,19,375.57
C002,Product Launch,Instagram,Text Post,08/07/2025,19,7668,12235,83.0,51,8.0,5,108.03
C007,Influencer Collab,LinkedIn,Carousel,2025-03-17,10,4869,5550,138.0,143,9.0,12,468.26
C005,Customer Spotlight,Facebook,Story,2025-06-23,20,3877,6127,189.0,28,6.0,3,154.05
C001,Summer Sale,Instagram,Image,03-25-2025,16,3229,3916,129.0,116,17.0,27,109.55
C008,New Year Promo,Facebook,Image,02-26-2025,10,5912,9418,114.0,106,14.0,14,251.86
C005,Customer Spotlight,Instagram,Story,03-01-2025,20,9468,11182,159.0,274,31.0,22,176.09
C002,Product Launch,TikTok,Story,05-30-2025,21,17635,27833,520.0,289,66.0,50,98.54
C003,Brand Awareness,LinkedIn,Image,2025-01-26,7,2848,4790,136.0,60,5.0,18,418.06
C002,Product Launch,LinkedIn,Text Post,05-04-2025,22,2518,4073,90.0,46,9.0,6,381.9
C004,Holiday Promo,TikTok,Video,14/05/2025,21,15770,21852,1178.0,167,17.0,27,211.54
C007,Influencer Collab,Twitter,Video,17/07/2025,21,2893,5022,72.0,91,12.0,25,301.39
C002,Product Launch,TikTok,Image,07-26-2025,9,9217,13869,356.0,73,10.0,9,34.64
C007,Influencer Collab,LinkedIn,Story,04-01-2025,23,5201,5787,194.0,165,22.0,32,359.47
C006,Flash Sale,TikTok,Text Post,03-30-2025,19,7040,8825,105.0,147,21.0,22,279.63
C001,Summer Sale,Instagram,Text Post,04-03-2025,18,9611,15296,181.0,233,28.0,40,217.29
C003,Brand Awareness,LinkedIn,Carousel,09/04/2025,16,2323,3844,170.0,67,11.0,10,275.85
C001,Summer Sale,Instagram,Text Post,03-30-2025,8,6118,7889,124.0,44,7.0,11,342.98
C007,Influencer Collab,LinkedIn,Story,05-24-2025,16,1320,2179,26.0,16,2.0,3,111.96
C001,Summer Sale,TikTok,Carousel,06-21-2025,21,9750,11859,265.0,285,51.0,40,158.57
C004,Holiday Promo,Twitter,Video,01-10-2025,15,3943,4988,237.0,45,7.0,7,226.83
C003,Brand Awareness,TikTok,Text Post,05-30-2025,7,4972,5532,114.0,30,2.0,4,31.17
C007,Influencer Collab,Facebook,Text Post,02-18-2025,13,6763,10844,77.0,62,11.0,11,346.51
C008,New Year Promo,Facebook,Image,2025-04-08,17,5112,7967,91.0,85,8.0,8,338.83
C006,Flash Sale,TikTok,Image,02-16-2025,14,12093,16313,460.0,309,49.0,56,469.68
C005,Customer Spotlight,Facebook,Text Post,04-08-2025,18,6560,8948,49.0,36,3.0,5,447.45
C005,Customer Spotlight,TikTok,Text Post,01-08-2025,15,9630,13021,282.0,92,9.0,20,228.23
C003,Brand Awareness,Twitter,Story,04-01-2025,13,6197,7469,230.0,127,27.0,33,244.97
C005,Customer Spotlight,Twitter,Story,2025-06-23,7,3749,6223,64.0,43,7.0,8,190.58
C002,Product Launch,Instagram,Story,03-28-2025,10,5624,7814,164.0,47,8.0,5,360.34
C007,Influencer Collab,TikTok,Video,01-07-2025,22,18617,24387,968.0,631,145.0,184,304.75
C006,Flash Sale,Instagram,Video,06-02-2025,13,5830,7035,228.0,318,42.0,71,319.32
C007,Influencer Collab,Instagram,Carousel,03-05-2025,13,8627,11621,103.0,240,44.0,39,396.2
C005,Customer Spotlight,TikTok,Image,02-26-2025,17,9975,11927,424.0,330,32.0,62,371.47
C008,New Year Promo,TikTok,Video,05-11-2025,10,16210,27360,202.0,292,58.0,25,228.12
C002,Product Launch,LinkedIn,Carousel,05-24-2025,23,1693,2562,23.0,23,4.0,2,53.12
C005,Customer Spotlight,TikTok,Carousel,2025-07-22,6,15222,20361,821.0,479,108.0,102,237.11
C007,Influencer Collab,Instagram,Video,2025-06-17,13,4012,7193,318.0,97,9.0,19,305.91
C005,Customer Spotlight,Facebook,Carousel,03-29-2025,16,2460,3818,170.0,48,8.0,11,141.08
C007,Influencer Collab,Facebook,Text Post,2025-06-08,10,7513,8793,164.0,55,7.0,10,332.55
